trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
1/2/2019 1:06,4.61E+12,fraud_Rutherford-Mertz,grocery_pos,281.06,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,9/15/1988,e8a81877ae9a0a7f883e15cb39dc4022,1325466397,36.430124,-81.179483,1
1/2/2019 1:47,3.40E+14,"fraud_Jenkins, Hauck and Friesen",gas_transport,11.52,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,10/28/1960,bc7d41c41103877b03232f03f1f8d3f5,1325468849,29.819364,-99.142791,1
1/2/2019 3:05,3.40E+14,fraud_Goodwin-Nitzsche,grocery_pos,276.31,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,10/28/1960,b98f12f4168391b2203238813df5aa8c,1325473523,29.273085,-98.83636,1
1/2/2019 3:38,4.61E+12,fraud_Erdman-Kertzmann,gas_transport,7.03,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,9/15/1988,397894a5c4c02e3c61c784001f0f14e4,1325475483,35.909292,-82.09101,1
1/2/2019 3:55,3.40E+14,fraud_Koepp-Parker,grocery_pos,275.73,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,10/28/1960,7863235a750d73a244c07f1fb7f0185a,1325476547,29.786426,-98.68341,1
1/2/2019 13:38,4.61E+12,fraud_Medhurst PLC,shopping_net,844.8,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,9/15/1988,248c2746e78f2ec713df51254ff1b302,1325511488,35.987802,-81.254332,1
1/2/2019 23:52,4.61E+12,fraud_Ruecker Group,misc_net,843.91,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,9/15/1988,2f7d497f607396ab669c14c2abe3886f,1325548328,35.985612,-81.383306,1
1/3/2019 1:05,3.40E+14,fraud_Conroy-Cruickshank,gas_transport,10.76,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,10/28/1960,0a2f8002e55a3565c5c88d8cf039fed8,1325552727,28.856712,-97.794207,1
1/3/2019 1:35,3.40E+14,fraud_Koepp-Parker,grocery_pos,332.35,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,10/28/1960,97903213a2fd7e53bbaa60807144a505,1325554552,29.320662,-97.937219,1
1/3/2019 3:17,3.40E+14,fraud_Strosin-Cruickshank,grocery_pos,315.34,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,10/28/1960,0ffc2b7dae4c33883f14ac60283d4027,1325560656,28.953283,-97.806528,1
1/3/2019 16:54,4.92E+15,fraud_Rau and Sons,grocery_pos,337.05,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,3/7/1941,7301679c460c5f2a464b0ecb5c610b47,1325609693,41.174382,-79.809888,1
1/3/2019 18:07,4.92E+15,fraud_Pouros-Conroy,shopping_pos,711.66,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,3/7/1941,d8daaffedc75c3e9228351ffac06aca9,1325614021,41.207335,-78.840933,1
1/3/2019 22:09,4.92E+15,"fraud_Johnson, Runolfsdottir and Mayer",misc_net,707.5,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,3/7/1941,e366fd492cb7dfca302daba1f62ba9f4,1325628540,40.601968,-78.768636,1
1/3/2019 22:21,4.61E+12,fraud_Fisher Inc,shopping_net,942.62,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,9/15/1988,41b9e040c87e3ec6928ea9f86c571774,1325629275,35.76589,-81.951839,1
1/3/2019 22:58,4.92E+15,fraud_Mosciski Group,travel,4.5,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,3/7/1941,2751eef2242b86fba1c3e6c1bb6a7022,1325631524,39.492341,-78.859114,1
1/3/2019 23:09,4.61E+12,fraud_Morissette PLC,shopping_pos,821.96,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,9/15/1988,b7941dbeaf57c1dd33db619996852b0a,1325632191,35.772593,-81.593183,1
1/3/2019 23:29,4.61E+12,fraud_Lemke-Gutmann,shopping_net,1092.68,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,9/15/1988,d7a512888741e0585a7277b2d1bc8348,1325633397,36.981465,-80.767836,1
1/3/2019 23:41,4.61E+12,fraud_Mohr-Bayer,shopping_net,1254.27,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,9/15/1988,e8cd6d3df90834fe23e6ebb4e52a7349,1325634096,36.105024,-80.963186,1
1/3/2019 23:44,3.40E+14,"fraud_Moen, Reinger and Murphy",grocery_pos,274.09,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,10/28/1960,fdae36d3824101b501a9500505c0dd4c,1325634282,29.789989,-97.996197,1
1/4/2019 0:58,3.42E+14,"fraud_Stokes, Christiansen and Sipes",grocery_net,14.37,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",11/9/1939,a3806e984cec6ac0096d8184c64ad3a1,1325638683,65.654142,-164.722603,1
1/4/2019 2:13,4.92E+15,fraud_Rau and Sons,grocery_pos,316.93,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,3/7/1941,9a6497aef537514b394fad2b89ef0516,1325643224,39.528505,-80.233077,1
1/4/2019 2:57,4.92E+15,fraud_Padberg-Welch,grocery_pos,327.68,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,3/7/1941,4ae53182552dba862e94bf0b13dda3e6,1325645837,40.236755,-80.309968,1
1/4/2019 15:06,3.42E+14,fraud_Predovic Inc,shopping_net,966.11,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",11/9/1939,a59185fe1b9ccf21323f581d7477573f,1325689598,65.468863,-165.473127,1
1/4/2019 15:20,4.92E+15,fraud_Corwin-Gorczany,misc_net,795.22,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,3/7/1941,2e88359c19111450f2e481e6d527eec0,1325690417,40.352547,-79.327751,1
1/4/2019 15:48,4.92E+15,"fraud_Bins, Balistreri and Beatty",shopping_pos,1015.8,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,3/7/1941,7bd2173c927f2df10a800991cce11f89,1325692125,40.306614,-79.961163,1
1/4/2019 22:10,4.92E+15,fraud_Block-Parisian,misc_net,722.18,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,3/7/1941,bec7c3860e212f2bd26708879eae59d5,1325715009,40.346282,-79.59967,1
1/4/2019 22:14,4.92E+15,fraud_Schmidt and Sons,shopping_net,898.81,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,3/7/1941,d54162245d726a6d45cb6f4b8dc44501,1325715247,41.126312,-80.513488,1
1/4/2019 22:22,4.92E+15,fraud_Ankunding LLC,shopping_net,1001.63,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,3/7/1941,17aaea3bad11807b6011536f6333de8c,1325715764,39.911297,-80.626808,1
1/4/2019 22:37,3.42E+14,fraud_Wisozk and Sons,misc_pos,49.61,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",11/9/1939,86ba3a888b42cd3925881fa34177b4e0,1325716624,65.347667,-165.914542,1
1/4/2019 23:06,3.42E+14,fraud_Murray-Smitham,grocery_pos,295.26,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",11/9/1939,3a068fe1d856f0ecedbed33e4b5f4496,1325718388,64.445035,-166.080207,1
1/4/2019 23:44,4.92E+15,fraud_Hills-Witting,shopping_net,1099.99,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,3/7/1941,0d6c902ae823b78f8a151381a3554680,1325720696,40.578351,-79.727578,1
1/4/2019 23:59,3.42E+14,fraud_Friesen Ltd,health_fitness,18.17,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",11/9/1939,891cdd1191028759dc20dc224347a0ff,1325721549,65.447094,-165.446843,1
1/5/2019 3:15,3.42E+14,"fraud_Raynor, Reinger and Hagenes",gas_transport,20.45,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",11/9/1939,ef010a5f4f570d306a050a368ee2729d,1325733335,64.088838,-165.104078,1
1/5/2019 3:21,3.42E+14,fraud_Heller-Langosh,gas_transport,18.19,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",11/9/1939,8e2d2fae5319d31c887dddbc70627ac4,1325733689,63.917785,-165.827621,1
1/5/2019 11:31,3.03E+13,fraud_Padberg-Welch,grocery_pos,367.29,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,64630,40.029,-93.1607,602,Cytogeneticist,7/14/1954,5fbe827807ec9f557f6242bb48db0e51,1325763083,39.167065,-93.705245,1
1/5/2019 18:03,3.42E+14,fraud_McGlynn-Heathcote,misc_net,768.15,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",11/9/1939,fba83e0a3adb530251295ab72a96b719,1325786598,64.623325,-166.403973,1
1/5/2019 22:02,3.42E+14,fraud_Dooley-Thompson,misc_net,849.49,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",11/9/1939,b87c92d4824758e704da572891697fed,1325800954,65.266065,-164.865352,1
1/5/2019 22:05,3.03E+13,"fraud_Gottlieb, Considine and Schultz",shopping_net,1177.79,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,64630,40.029,-93.1607,602,Cytogeneticist,7/14/1954,f1c51701d8b5dd6ebfe7c1aebf0c4fe7,1325801150,39.288305,-92.476947,1
1/5/2019 22:12,3.42E+14,"fraud_Moen, Reinger and Murphy",grocery_pos,307.09,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",11/9/1939,755e4e8350ec4a3e9309727574c97726,1325801545,64.909145,-164.712087,1
1/5/2019 22:18,3.42E+14,"fraud_Hauck, Dietrich and Funk",kids_pets,4.58,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",11/9/1939,8fa7880cf01e6adc96e9654d69f3f035,1325801932,65.052892,-166.067029,1
1/5/2019 22:32,3.42E+14,fraud_Pouros-Haag,shopping_pos,730.78,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",11/9/1939,2396a5b8e277a4ce1d4fa939d6e7b19b,1325802748,65.233866,-166.550779,1
1/5/2019 22:33,3.42E+14,fraud_Goyette Inc,shopping_net,1006.4,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",11/9/1939,4d7e567247b6c4529ce4c32c03b2f040,1325802835,65.220316,-165.005725,1
1/5/2019 22:38,3.42E+14,"fraud_Baumbach, Strosin and Nicolas",shopping_pos,830.72,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",11/9/1939,773a3305db095657e1860a39dda24cf2,1325803095,65.710538,-165.986117,1
1/5/2019 23:17,3.42E+14,fraud_Pacocha-O'Reilly,grocery_pos,311.92,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",11/9/1939,191b3dcec7a6a49438be93cfbeaea9c1,1325805459,64.79501,-165.670735,1
1/5/2019 23:26,3.03E+13,fraud_Barrows PLC,shopping_pos,762.93,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,64630,40.029,-93.1607,602,Cytogeneticist,7/14/1954,19b126ecf4c79997e9edc6f260c09880,1325805984,40.205262,-93.499211,1
1/6/2019 18:39,3.03E+13,fraud_Fisher-Schowalter,shopping_net,855.88,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,64630,40.029,-93.1607,602,Cytogeneticist,7/14/1954,bbae703c3794b7738d08739afbaef898,1325875167,40.786018,-93.301092,1
